iter	Passed	Remaining
442	1252	1574
443	1254	1571
444	1256	1567
445	1258	1563
446	1261	1560
447	1265	1559
448	1269	1558
449	1272	1555
450	1275	1552
451	1280	1552
452	1285	1552
453	1288	1549
454	1291	1546
455	1298	1548
456	1300	1545
457	1303	1542
458	1305	1539
459	1311	1539
460	1314	1536
461	1316	1532
462	1318	1529
463	1321	1526
464	1325	1525
465	1328	1522
466	1331	1519
467	1333	1515
468	1335	1511
469	1337	1507
470	1341	1506
471	1343	1502
472	1345	1499
473	1347	1495
474	1349	1491
475	1350	1487
476	1354	1485
477	1358	1483
478	1361	1480
479	1363	1477
480	1365	1473
481	1368	1470
482	1372	1469
483	1375	1466
484	1377	1462
485	1379	1458
486	1381	1454
487	1384	1452
488	1388	1450
489	1390	1447
490	1392	1443
491	1394	1439
492	1396	1435
493	1400	1434
494	1403	1431
495	1405	1427
496	1407	1424
497	1409	1420
498	1411	1416
499	1413	1413
500	1417	1411
501	1419	1408
502	1421	1404
503	1423	1400
504	1425	1397
505	1427	1394
506	1432	1392
507	1434	1389
508	1436	1385
509	1438	1381
510	1440	1378
511	1442	1375
512	1447	1374
513	1449	1370
514	1451	1366
515	1453	1363
516	1456	1360
517	1459	1358
518	1464	1356
519	1466	1353
520	1468	1350
521	1471	1347
522	1475	1345
523	1479	1344
524	1481	1340
525	1483	1337
526	1485	1333
527	1487	1329
528	1493	1329
529	1496	1326
530	1498	1323
531	1500	1319
532	1504	1317
533	1506	1314
534	1508	1311
535	1510	1307
536	1512	1304
537	1514	1300
538	1517	1297
539	1520	1295
540	1522	1291
541	1525	1288
542	1527	1285
543	1529	1281
544	1531	1278
545	1535	1276
546	1537	1273
547	1540	1270
548	1541	1266
549	1543	1263
550	1547	1260
551	1551	1259
552	1554	1256
553	1557	1253
554	1559	1250
555	1563	1248
556	1567	1246
557	1569	1243
558	1571	1239
559	1572	1235
560	1574	1232
561	1579	1231
562	1582	1228
563	1585	1225
564	1586	1221
565	1588	1218
566	1591	1215
567	1595	1213
568	1598	1210
569	1600	1207
570	1602	1203
571	1604	1200
572	1606	1196
573	1610	1195
574	1612	1192
575	1614	1188
576	1616	1185
577	1618	1181
578	1620	1178
579	1625	1176
580	1627	1173
581	1629	1170
582	1631	1167
583	1633	1163
584	1635	1160
585	1640	1158
586	1644	1156
587	1646	1153
588	1649	1151
589	1651	1147
590	1656	1146
591	1660	1144
592	1662	1140
593	1664	1137
594	1666	1134
